x_fl,y_fl,z_fl,x_fr,y_fr,z_fr,x_rl,y_rl,z_rl,x_rr,y_rr,z_rr
-1028.4042650554222,-34.71157742519322,4207.573713114897,-1028.4042650554222,-34.25904567258763,4167.725146761961,-697.4693488195735,-50.25744175302381,3474.491847725573,-697.4693488195735,-49.70618591778177,3434.6432813726365
-1027.948715715116,370.19289659802854,4007.260801222402,-1027.948715715116,400.05270253646205,4364.244040084682,-697.2094247980133,379.4477642651213,3275.06683403995,-697.2094247980133,413.84099352589845,3632.0500729022306
-1025.043140863518,692.409631448832,3833.623987652507,-1025.043140863518,803.875271028675,4532.942088659195,-695.374493460829,714.3797041261994,3103.4581449780558,-695.374493460829,848.1815879945115,3802.7762459847436
-1021.1256754104392,926.7515706217163,3696.917317602685,-1021.1256754104392,1138.9205604413628,4664.240599688878,-692.9151403412756,953.5344545923092,2969.243906475428,-692.9151403412756,1210.894127070814,3936.567188561621
-1017.8821248028705,1074.7223124213367,3604.357354959411,-1017.8821248028705,1372.893938953695,4751.702304409466,-690.8946964249759,1103.1885301588495,2878.8623887465296,-690.8946964249759,1466.5159422374015,4026.207338196584
-1016.7666293167463,1140.460423826173,3560.2111307833147,-1016.7666293167463,1484.106983666676,4791.701373655438,-690.1147109627549,1170.8533307111095,2835.9416859574826,-690.1147109627549,1590.3875602616386,4067.4319288296056
-1018.2036225845079,1139.2249511648602,3558.6428845362925,-1018.2036225845079,1483.6629333224798,4790.172038055312,-690.4860263016444,1172.173736095911,2834.550464809538,-690.4860263016444,1592.0375501377569,4066.0796183285574
-1018.713180991287,1138.6199308641965,3556.9765001539085,-1018.713180991287,1485.2626210609046,4788.507177537109,-690.9480939451432,1173.0363336326154,2833.2973044043015,-690.9480939451432,1592.5791259072184,4064.8279817875023
-1019.154386785092,1138.1961276015668,3555.281372128674,-1019.154386785092,1487.5492598981991,4786.81264331652,-691.2614363618385,1173.722149753179,2832.076261186934,-691.2614363618385,1592.7616304714854,4063.60753237478
-1019.5021989574187,1137.6686930323765,3553.564066135092,-1019.5021989574187,1490.1478603902497,4785.095637142069,-691.502902785065,1174.4727430558714,2830.879408982163,-691.502902785065,1592.9346964039446,4062.41097998914
